"time","kind","series","series_label","record","observed","predicted","unit","model","label"
1954,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1954",4.40903714715002,5.05322105333346,"geometric-mean-scaled index","reference","Reference"
1955,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1955",3.14529508758885,4.7659417472435,"geometric-mean-scaled index","reference","Reference"
1956,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1956",3.55845376339654,4.63099072156651,"geometric-mean-scaled index","reference","Reference"
1957,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1957",3.81367935187817,4.5100474659956,"geometric-mean-scaled index","reference","Reference"
1958,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1958",4.19937988018333,4.39191932226178,"geometric-mean-scaled index","reference","Reference"
1959,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1959",5.02003875847804,4.24193418019977,"geometric-mean-scaled index","reference","Reference"
1960,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1960",6.09415385779237,4.1145273038472,"geometric-mean-scaled index","reference","Reference"
1961,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1961",5.9871599837675,3.94514623503308,"geometric-mean-scaled index","reference","Reference"
1962,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1962",4.31836862588877,3.6763911719862,"geometric-mean-scaled index","reference","Reference"
1963,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1963",2.6756633141332,3.32872949217038,"geometric-mean-scaled index","reference","Reference"
1964,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1964",2.42251196662564,2.93850901564408,"geometric-mean-scaled index","reference","Reference"
1965,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1965",2.71599052736943,2.49224124235352,"geometric-mean-scaled index","reference","Reference"
1966,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1966",2.44814503331434,2.05224429404415,"geometric-mean-scaled index","reference","Reference"
1967,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1967",1.94746079529619,1.81394916878713,"geometric-mean-scaled index","reference","Reference"
1968,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1968",1.71471945569896,1.75189111558133,"geometric-mean-scaled index","reference","Reference"
1969,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1969",1.65433171113289,1.68863878871589,"geometric-mean-scaled index","reference","Reference"
1970,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1970",1.54780579698768,1.48902577968214,"geometric-mean-scaled index","reference","Reference"
1971,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1971",1.23412080025738,1.23260383007629,"geometric-mean-scaled index","reference","Reference"
1972,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1972",1.07338614840291,1.04233974183652,"geometric-mean-scaled index","reference","Reference"
1973,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1973",0.989103263951998,0.865759149532346,"geometric-mean-scaled index","reference","Reference"
1974,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1974",0.580301639759145,0.741152896876202,"geometric-mean-scaled index","reference","Reference"
1975,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1975",0.58813811691667,0.714651959542337,"geometric-mean-scaled index","reference","Reference"
1976,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1976",0.851064006357214,0.723886619442383,"geometric-mean-scaled index","reference","Reference"
1977,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1977",0.863018267252948,0.68080204987889,"geometric-mean-scaled index","reference","Reference"
1978,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1978",0.935245185300877,0.717707991048501,"geometric-mean-scaled index","reference","Reference"
1979,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1979",0.811891863308134,0.84200252906662,"geometric-mean-scaled index","reference","Reference"
1980,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1980",0.857986996795637,0.925982082342435,"geometric-mean-scaled index","reference","Reference"
1981,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1981",0.969775742290399,0.866004033834907,"geometric-mean-scaled index","reference","Reference"
1982,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1982",0.754187984251701,0.75326484098311,"geometric-mean-scaled index","reference","Reference"
1983,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1983",0.847323525052082,0.683537998912292,"geometric-mean-scaled index","reference","Reference"
1984,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1984",0.697012441179108,0.665233949904791,"geometric-mean-scaled index","reference","Reference"
1985,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1985",0.700113985527936,0.714680065592976,"geometric-mean-scaled index","reference","Reference"
1986,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1986",0.916792661518106,0.759397850118366,"geometric-mean-scaled index","reference","Reference"
1987,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1987",0.932698710694853,0.810227732442538,"geometric-mean-scaled index","reference","Reference"
1988,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1988",0.933673375591985,0.768286620435342,"geometric-mean-scaled index","reference","Reference"
1989,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1989",0.68771709247243,0.756447897743041,"geometric-mean-scaled index","reference","Reference"
1990,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1990",0.776975789161292,0.762326313200317,"geometric-mean-scaled index","reference","Reference"
1991,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1991",0.655727821196814,0.726725855174442,"geometric-mean-scaled index","reference","Reference"
1992,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1992",0.872502177541898,0.710642814150925,"geometric-mean-scaled index","reference","Reference"
1993,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1993",0.879147658089477,0.748778002661571,"geometric-mean-scaled index","reference","Reference"
1994,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1994",0.948738796667378,0.791911735198629,"geometric-mean-scaled index","reference","Reference"
1995,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1995",0.883131727989847,0.836215654689404,"geometric-mean-scaled index","reference","Reference"
1996,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1996",0.837306959406211,0.840659480310528,"geometric-mean-scaled index","reference","Reference"
1997,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1997",0.95208949005856,0.869397690889871,"geometric-mean-scaled index","reference","Reference"
1998,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1998",0.856547687420413,0.828472961427072,"geometric-mean-scaled index","reference","Reference"
1999,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1999",0.61266101448799,0.863092160930256,"geometric-mean-scaled index","reference","Reference"
2000,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2000",0.679263091965619,0.899022300858714,"geometric-mean-scaled index","reference","Reference"
2001,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2001",0.663388123597169,0.840805764508353,"geometric-mean-scaled index","reference","Reference"
2002,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2002",0.695863453728742,0.660991026225313,"geometric-mean-scaled index","reference","Reference"
2003,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2003",0.520428254256146,0.558948407853314,"geometric-mean-scaled index","reference","Reference"
2004,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2004",0.457969008695485,0.563614001029817,"geometric-mean-scaled index","reference","Reference"
2005,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2005",0.57000982730679,0.528677456117855,"geometric-mean-scaled index","reference","Reference"
2006,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2006",0.692547701969523,0.539135527117155,"geometric-mean-scaled index","reference","Reference"
2007,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2007",0.763296075617131,0.59905365951802,"geometric-mean-scaled index","reference","Reference"
2008,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2008",0.557991706511396,0.668116859865951,"geometric-mean-scaled index","reference","Reference"
2009,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2009",0.644374806432787,0.648431819999568,"geometric-mean-scaled index","reference","Reference"
2010,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2010",0.629833334064991,0.490158403224318,"geometric-mean-scaled index","reference","Reference"
2011,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2011",0.472776191924379,0.508143601450776,"geometric-mean-scaled index","reference","Reference"
2012,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2012",0.561037772817115,0.559347958686277,"geometric-mean-scaled index","reference","Reference"
2013,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2013",0.518607359493591,0.5552563127414,"geometric-mean-scaled index","reference","Reference"
2014,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2014",0.534249440170542,0.565275842604407,"geometric-mean-scaled index","reference","Reference"
2015,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2015",0.610459945494768,0.598364407342988,"geometric-mean-scaled index","reference","Reference"
2016,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2016",0.483833914957584,0.629982338302938,"geometric-mean-scaled index","reference","Reference"
2017,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2017",0.503585067785675,0.629918718035722,"geometric-mean-scaled index","reference","Reference"
2018,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2018",0.44199217333407,0.559084962493676,"geometric-mean-scaled index","reference","Reference"
2019,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2019",0.466975339471439,0.508427166405218,"geometric-mean-scaled index","reference","Reference"
2020,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2020",0.377731205082218,0.485781504561016,"geometric-mean-scaled index","reference","Reference"
2021,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2021",0.384903092509445,0.48217499435501,"geometric-mean-scaled index","reference","Reference"
2022,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","2022",0.533173522636986,0.442247239021951,"geometric-mean-scaled index","reference","Reference"
1992,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","1992",1.85927115000846,0.889474113208919,"geometric-mean-scaled index","reference","Reference"
1993,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","1993",0.849266654622091,0.862185669570745,"geometric-mean-scaled index","reference","Reference"
1994,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","1994",1.00123553533734,0.852972380582893,"geometric-mean-scaled index","reference","Reference"
1995,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","1995",1.31046507492219,1.0058352433483,"geometric-mean-scaled index","reference","Reference"
1996,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","1996",1.21306505673522,1.04477028639624,"geometric-mean-scaled index","reference","Reference"
1997,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","1997",0.799390157141791,0.792935506212739,"geometric-mean-scaled index","reference","Reference"
1998,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","1998",1.99291282185133,0.654449901188984,"geometric-mean-scaled index","reference","Reference"
1999,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","1999",1.3696369541503,0.626726371854744,"geometric-mean-scaled index","reference","Reference"
2000,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2000",0.965612099781253,1.04891328206764,"geometric-mean-scaled index","reference","Reference"
2001,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2001",0.810369966030035,0.814153017677498,"geometric-mean-scaled index","reference","Reference"
2002,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2002",0.74171237247259,0.974653519530247,"geometric-mean-scaled index","reference","Reference"
2003,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2003",1.03600097632011,1.34901315257986,"geometric-mean-scaled index","reference","Reference"
2004,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2004",1.05045112419079,1.23481843885451,"geometric-mean-scaled index","reference","Reference"
2005,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2005",0.734713898314047,0.868120915069159,"geometric-mean-scaled index","reference","Reference"
2006,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2006",0.882670668461906,0.79835327687631,"geometric-mean-scaled index","reference","Reference"
2007,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2007",1.03363575876466,1.06793694275275,"geometric-mean-scaled index","reference","Reference"
2008,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2008",1.33647576097039,1.31495872399046,"geometric-mean-scaled index","reference","Reference"
2009,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2009",0.832547956398684,1.11886174856489,"geometric-mean-scaled index","reference","Reference"
2010,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2010",1.1710748925389,1.08660401459906,"geometric-mean-scaled index","reference","Reference"
2011,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2011",1.14908021933067,1.29869313827757,"geometric-mean-scaled index","reference","Reference"
2012,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2012",0.992144371207608,1.3374358476587,"geometric-mean-scaled index","reference","Reference"
2013,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2013",0.812541615693899,1.09807645630733,"geometric-mean-scaled index","reference","Reference"
2014,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2014",0.869128916645273,0.958284464734191,"geometric-mean-scaled index","reference","Reference"
2015,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2015",0.923487470227196,1.08501985750454,"geometric-mean-scaled index","reference","Reference"
2016,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2016",0.994049496935054,1.11593989144454,"geometric-mean-scaled index","reference","Reference"
2017,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2017",0.679637993540111,0.829040010565546,"geometric-mean-scaled index","reference","Reference"
2018,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2018",1.1614387047662,0.715644144213782,"geometric-mean-scaled index","reference","Reference"
2019,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2019",0.909406517143503,1.24955468821539,"geometric-mean-scaled index","reference","Reference"
2020,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2020",0.960523282163485,1.33381122032041,"geometric-mean-scaled index","reference","Reference"
2021,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2021",0.974737478989675,1.21249038233779,"geometric-mean-scaled index","reference","Reference"
2022,"index","F19_R1_G19","Index 19  / Region 1  / Group 19","2022",0.665420460916155,1.02756542231333,"geometric-mean-scaled index","reference","Reference"
1954,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1954",4.21096154805618,3.25878707108711,"geometric-mean-scaled index","reference","Reference"
1955,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1955",3.11733650195403,3.18595083960855,"geometric-mean-scaled index","reference","Reference"
1956,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1956",3.11471220345346,3.15932950183558,"geometric-mean-scaled index","reference","Reference"
1957,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1957",2.49122048423764,3.13208450629577,"geometric-mean-scaled index","reference","Reference"
1958,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1958",3.38277838084962,3.1057235746543,"geometric-mean-scaled index","reference","Reference"
1959,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1959",3.53910335426992,3.07613646676439,"geometric-mean-scaled index","reference","Reference"
1960,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1960",2.88806453309758,3.0243162274745,"geometric-mean-scaled index","reference","Reference"
1961,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1961",2.77519235560544,2.70737997157584,"geometric-mean-scaled index","reference","Reference"
1962,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1962",2.84542670742501,2.55447420786954,"geometric-mean-scaled index","reference","Reference"
1963,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1963",2.15624779216803,2.07393695136438,"geometric-mean-scaled index","reference","Reference"
1964,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1964",1.77294323917794,1.62499603331218,"geometric-mean-scaled index","reference","Reference"
1965,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1965",1.39305357413891,1.53902221589105,"geometric-mean-scaled index","reference","Reference"
1966,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1966",2.15604911541288,1.60762036046134,"geometric-mean-scaled index","reference","Reference"
1967,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1967",1.83466830687541,1.76238411541792,"geometric-mean-scaled index","reference","Reference"
1968,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1968",1.49027459282616,1.48929326509766,"geometric-mean-scaled index","reference","Reference"
1969,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1969",0.90397341842816,1.13745787512669,"geometric-mean-scaled index","reference","Reference"
1970,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1970",1.74296686069583,1.0937688084882,"geometric-mean-scaled index","reference","Reference"
1971,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1971",1.05128168838887,0.969960126516127,"geometric-mean-scaled index","reference","Reference"
1972,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1972",1.03629787461149,0.87109506694639,"geometric-mean-scaled index","reference","Reference"
1973,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1973",1.14631510743072,0.785203271582978,"geometric-mean-scaled index","reference","Reference"
1974,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1974",0.503606327140092,0.686269955205001,"geometric-mean-scaled index","reference","Reference"
1975,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1975",0.345168043176568,0.628392576859641,"geometric-mean-scaled index","reference","Reference"
1976,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1976",0.392881567888747,0.614590769546345,"geometric-mean-scaled index","reference","Reference"
1977,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1977",0.722292569399697,0.737136834626289,"geometric-mean-scaled index","reference","Reference"
1978,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1978",1.34450541165844,0.996894102319325,"geometric-mean-scaled index","reference","Reference"
1979,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1979",0.925834385511787,0.95506948494503,"geometric-mean-scaled index","reference","Reference"
1980,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1980",0.665679781043966,0.811794388620696,"geometric-mean-scaled index","reference","Reference"
1981,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1981",0.591226781169868,0.686234480228353,"geometric-mean-scaled index","reference","Reference"
1982,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1982",0.474104859767232,0.608688425111072,"geometric-mean-scaled index","reference","Reference"
1983,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1983",0.516419783951321,0.621456930505902,"geometric-mean-scaled index","reference","Reference"
1984,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1984",0.705603550009173,0.729589623308017,"geometric-mean-scaled index","reference","Reference"
1985,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1985",0.596630644214555,0.762055096188981,"geometric-mean-scaled index","reference","Reference"
1986,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1986",0.576521368772823,0.726178847220545,"geometric-mean-scaled index","reference","Reference"
1987,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1987",0.738069475063823,0.713085906467426,"geometric-mean-scaled index","reference","Reference"
1988,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1988",0.631881286279668,0.747497273192561,"geometric-mean-scaled index","reference","Reference"
1989,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1989",0.538572813890766,0.636049505781582,"geometric-mean-scaled index","reference","Reference"
1990,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1990",0.558798697122352,0.648936594873216,"geometric-mean-scaled index","reference","Reference"
1991,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1991",0.596239520556125,0.665845693980718,"geometric-mean-scaled index","reference","Reference"
1992,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1992",0.949703632796349,0.720337126320834,"geometric-mean-scaled index","reference","Reference"
1993,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1993",0.773853468646436,0.837918537093758,"geometric-mean-scaled index","reference","Reference"
1994,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1994",0.810781379423954,0.744954462977618,"geometric-mean-scaled index","reference","Reference"
1995,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1995",1.07726297359609,0.861144524928125,"geometric-mean-scaled index","reference","Reference"
1996,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1996",0.935003854840217,0.841072765720328,"geometric-mean-scaled index","reference","Reference"
1997,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1997",0.800397864000986,0.845982042090175,"geometric-mean-scaled index","reference","Reference"
1998,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1998",1.04349083940237,0.893047962798107,"geometric-mean-scaled index","reference","Reference"
1999,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","1999",0.765213765192612,0.981620867199346,"geometric-mean-scaled index","reference","Reference"
2000,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2000",0.767097814359868,0.885761073010969,"geometric-mean-scaled index","reference","Reference"
2001,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2001",0.841773334723493,0.823707691177151,"geometric-mean-scaled index","reference","Reference"
2002,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2002",0.547333871289332,0.645209752997771,"geometric-mean-scaled index","reference","Reference"
2003,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2003",0.588325890023659,0.823404920836567,"geometric-mean-scaled index","reference","Reference"
2004,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2004",0.635814586790303,0.658630957236077,"geometric-mean-scaled index","reference","Reference"
2005,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2005",0.834789610625378,0.756439549293717,"geometric-mean-scaled index","reference","Reference"
2006,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2006",0.92372528101704,0.892652968226209,"geometric-mean-scaled index","reference","Reference"
2007,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2007",0.84623569961814,0.98383671312678,"geometric-mean-scaled index","reference","Reference"
2008,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2008",0.610796174186906,0.852993696038953,"geometric-mean-scaled index","reference","Reference"
2009,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2009",1.05927374250753,0.797513032529362,"geometric-mean-scaled index","reference","Reference"
2010,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2010",0.847323881897912,0.81454928404635,"geometric-mean-scaled index","reference","Reference"
2011,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2011",1.12583979197944,0.946123839881451,"geometric-mean-scaled index","reference","Reference"
2012,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2012",0.945525297290097,0.846508424621268,"geometric-mean-scaled index","reference","Reference"
2013,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2013",0.87877457395759,0.838926798742716,"geometric-mean-scaled index","reference","Reference"
2014,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2014",1.04373534993691,0.904835622026256,"geometric-mean-scaled index","reference","Reference"
2015,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2015",1.22377077691567,0.920891078819022,"geometric-mean-scaled index","reference","Reference"
2016,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2016",1.13572929605611,0.829970977424712,"geometric-mean-scaled index","reference","Reference"
2017,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2017",0.734357067400453,0.754803033634295,"geometric-mean-scaled index","reference","Reference"
2018,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2018",0.64550184014846,0.74924581649755,"geometric-mean-scaled index","reference","Reference"
2019,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2019",0.713722524698996,0.786628616369426,"geometric-mean-scaled index","reference","Reference"
2020,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2020",0.772716002092201,0.67500161219348,"geometric-mean-scaled index","reference","Reference"
2021,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2021",0.751048561936257,0.499071074345567,"geometric-mean-scaled index","reference","Reference"
2022,"index","F20_R2_G20","Index 20  / Region 2  / Group 20","2022",1.00202993070836,0.735854953519355,"geometric-mean-scaled index","reference","Reference"
1954,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1954",4.40903714715002,5.15952452573847,"geometric-mean-scaled index","trial-1","Trial 1"
1955,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1955",3.14529508758885,4.86620178963325,"geometric-mean-scaled index","trial-1","Trial 1"
1956,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1956",3.55845376339654,4.72841182964433,"geometric-mean-scaled index","trial-1","Trial 1"
1957,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1957",3.81367935187817,4.60492431806414,"geometric-mean-scaled index","trial-1","Trial 1"
1958,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1958",4.19937988018333,4.48431113919429,"geometric-mean-scaled index","trial-1","Trial 1"
1959,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1959",5.02003875847804,4.33117079350235,"geometric-mean-scaled index","trial-1","Trial 1"
1960,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1960",6.09415385779237,4.20108368740688,"geometric-mean-scaled index","trial-1","Trial 1"
1961,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1961",5.9871599837675,4.02813938722319,"geometric-mean-scaled index","trial-1","Trial 1"
1962,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1962",4.31836862588877,3.75373058448696,"geometric-mean-scaled index","trial-1","Trial 1"
1963,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1963",2.6756633141332,3.39875522426877,"geometric-mean-scaled index","trial-1","Trial 1"
1964,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1964",2.42251196662564,3.0003257675256,"geometric-mean-scaled index","trial-1","Trial 1"
1965,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1965",2.71599052736943,2.54466995966808,"geometric-mean-scaled index","trial-1","Trial 1"
1966,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1966",2.44814503331434,2.09541689472354,"geometric-mean-scaled index","trial-1","Trial 1"
1967,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1967",1.94746079529619,1.8521088086234,"geometric-mean-scaled index","trial-1","Trial 1"
1968,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1968",1.71471945569896,1.78874525413894,"geometric-mean-scaled index","trial-1","Trial 1"
1969,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1969",1.65433171113289,1.72416230232903,"geometric-mean-scaled index","trial-1","Trial 1"
1970,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1970",1.54780579698768,1.52035007941298,"geometric-mean-scaled index","trial-1","Trial 1"
1971,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1971",1.23412080025738,1.2585338390456,"geometric-mean-scaled index","trial-1","Trial 1"
1972,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1972",1.07338614840291,1.0642672080632,"geometric-mean-scaled index","trial-1","Trial 1"
1973,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1973",0.989103263951998,0.883971929636432,"geometric-mean-scaled index","trial-1","Trial 1"
1974,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1974",0.580301639759145,0.756744363326893,"geometric-mean-scaled index","trial-1","Trial 1"
1975,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1975",0.58813811691667,0.729685931747111,"geometric-mean-scaled index","trial-1","Trial 1"
1976,"index","F18_R1_G18","Index 18  / Region 1  / Group 18","1976",0.851064006357214,0.739114859106169,"geometric-mean-scaled index","trial-1","Trial 1"
